id,title,link,type,kind,action,target,notes,decision
"3868","לחתוך טישו","https://avinerpedia.vercel.app/content/3868","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: ""לחתוך טישו(שו""ת)"" · במקור: ""לחתוך טישו(שו""ת)""",""
"5112","נסיון","https://avinerpedia.vercel.app/content/5112","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: ""2255"" · ריק גם במקור",""
"5423","עבם","https://avinerpedia.vercel.app/content/5423","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: ""- ךףלחךףלח"" · במקור: ""* [[:ךףלחךףלח]]""",""
"6443","צומות","https://avinerpedia.vercel.app/content/6443","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: """" · ריק גם במקור",""
"6559","צרפתית","https://avinerpedia.vercel.app/content/6559","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: ""קטגוריה:שיעורי הרב אבינר בצרפתית"" · במקור: ""<ncl maxdepth=2 showarts=0 headings=bullet>קטגוריה""",""
"6657","קישור","https://avinerpedia.vercel.app/content/6657","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: """" · במקור: ""https://qwixite.com""",""
"6913","שבועות","https://avinerpedia.vercel.app/content/6913","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: ""כאן ניתן למצוא ערכים על """"."" · במקור: ""כאן ניתן למצוא ערכים על ""{{PAGENAME}}"".""",""
"7211","שיעור תורה בצרפתית הרב אבינר","https://avinerpedia.vercel.app/content/7211","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: ""שיעור תורה בצרפתית של הרב שלמה אבינר."" · ריק גם במקור",""
"7213","שיעורי ארח""צ בישיבה","https://avinerpedia.vercel.app/content/7213","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: ""כאן ניתן למצוא ערכים על """". חזרה ל "" ""."" · ריק גם במקור",""
"7214","שיעורי ארח""צ מהישיבה","https://avinerpedia.vercel.app/content/7214","article","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: ""כאן ניתן למצוא ערכים על """". חזרה ל "" ""."" · ריק גם במקור",""
"7216","שיעורי הרב אבינר בצרפתית","https://avinerpedia.vercel.app/content/7216","video","דף ריק / ניסיון / דף ניווט","hide","","טקסט בדף: ""שיעורי תורה של הרב שלמה אבינר בצרפתית."" · במקור: ""שיעורי תורה של הרב שלמה אבינר בצרפתית.כאן ניתן למצ""",""
"7804","תרומות","https://avinerpedia.vercel.app/content/7804","article","דף ריק / ניסיון / דף ניווט","hide","","דף התרומות של האתר הישן (העברה בנקאית, עטרת); לא תוכן של הרב",""
"1579","דירה וחנוכת הבית","https://avinerpedia.vercel.app/content/1579","article","הפניה לדף אחר","hide","","מפנה אל ""זוגיות ומשפחה (שו""ת)"" — לא קיים",""
"1580","דירה וחנוכת הבית (שו""ת)","https://avinerpedia.vercel.app/content/1580","qa","הפניה לדף אחר","hide","","מפנה אל ""אישות ומשפחה - הלכה (שו""ת)"" — לא קיים",""
"3448","ךףלחךףלח","https://avinerpedia.vercel.app/content/3448","article","הפניה לדף אחר","hide","","מפנה אל "":לעיכךלח"" — לא קיים",""
"3870","לטוס לירח","https://avinerpedia.vercel.app/content/3870","qa","הפניה לדף אחר","hide","","מפנה אל ""קטגוריה שו""ת"" — לא קיים (קטגוריה)",""
"3994","לכלל ישראל יש בחירה חופשית?","https://avinerpedia.vercel.app/content/3994","article","הפניה לדף אחר","hide","","מפנה אל ""לכלל ישראל יש בחירה חופשית?"" — קיים אבל מוסתר (3994)",""
"46","La Mitsva d'Erets Israel","https://avinerpedia.vercel.app/content/46","french","מכון מאיר בפורמט חריג","hide","5409","שיעור 5409 במכון מאיר הוא שיעור אחר (""פרשת ויצא - גנטיקה בפרשה""); כנראה מספור של האתר הצרפתי",""
"7839","תשובה מאהבה (כנס תש""ע)","https://avinerpedia.vercel.app/content/7839","article","מכון מאיר בפורמט חריג","hide","3700","שיעור 3700 במכון מאיר הוא שיעור אחר (""מה מונע מלהרגיש את מתיקות ונעימות התורה"") — מספור ישן; אין מזהה נכון",""
"340","אורות התחיה: פסקה לו, שיעור 2 בסדרה: ""כל סופר""- הרב אבינר","https://avinerpedia.vercel.app/content/340","series","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
"832","ארץ ישראל - מצוה עם סיכון","https://avinerpedia.vercel.app/content/832","video","סרטון עם קישור שבור","hide","","גם במקור <youtube></youtube> ריק; יש רק כותרת ותאריך (א' אב התשע""ד)",""
"2374","הפגנות - ברית מילה - סכסוכים משפחתיים (וידאו)","https://avinerpedia.vercel.app/content/2374","video","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
"2654","התבודדות ע""פ ר' נחמן (וידאו)","https://avinerpedia.vercel.app/content/2654","video","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
"3055","חסד במגילת רות","https://avinerpedia.vercel.app/content/3055","video","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
"3609","כיצד ניתן להדבק בקב''ה, עם זאת שאי אפשר לתופסו בשכל? (וידאו)","https://avinerpedia.vercel.app/content/3609","video","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
"4259","מדוע כל האומר דוד חטא אינו אלא טועה?","https://avinerpedia.vercel.app/content/4259","video","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
"4312","מה הברכה התקינה על ביעור או לבער? (וידאו)","https://avinerpedia.vercel.app/content/4312","video","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
"5517","על שיחות שבין אדם לרבו (וידאו)","https://avinerpedia.vercel.app/content/5517","video","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
"5875","פרשת בא - 'קידוש החודש' ,מידת ההתחדשות (וידאו)","https://avinerpedia.vercel.app/content/5875","video","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
"6015","פרשת ויצא - 'ואבדיל אתכם מן העמים' התחברות מתוך היפרדות (וידאו)","https://avinerpedia.vercel.app/content/6015","video","סרטון עם קישור שבור","hide","","אין מזהה סרטון לא ב-DB ולא במקור",""
